Date,Ticker,Company,Sector,Market Cap (B),Price,Breakout Readiness Score,Tech Score,Fund Score,RS Rank,EPS Growth %,Rev Growth %,Streak (days),Status,Strict,EPS Accel
2026-02-26,GVT&D.NS,GE Vernova T&D India Ltd,Industrials,989.47,3864.40,96,10,9,99,103.8,58.4,1,NEW,Y,Y
2026-02-26,MTARTECH.NS,MTAR Technologies Limited,Industrials,113.50,3683.40,96,10,9,99,117.3,58.9,1,NEW,Y,Y
2026-02-26,SJS.NS,S.J.S. Enterprises Limited,Consumer Cyclical,58.18,1819.60,96,10,9,95,61.9,36.4,1,NEW,Y,Y
2026-02-26,SHARDACROP.NS,Sharda Cropchem Limited,Basic Materials,106.52,1179.00,91,9,9,98,365.9,38.7,1,NEW,Y,Y
2026-02-26,ABCAPITAL.NS,Aditya Birla Capital Limited,Financial Services,932.44,356.15,89,10,7,95,33.5,27.9,1,NEW,Y,Y
2026-02-26,UJJIVANSFB.NS,Ujjivan Small Finance Bank Limited,Financial Services,119.56,61.60,88,9,8,94,71.0,22.4,1,NEW,Y,Y
2026-02-26,NAVINFLUOR.NS,Navin Fluorine International Limited,Basic Materials,332.84,6484.50,88,8,9,88,121.8,47.2,1,NEW,Y,Y
2026-02-26,TITAN.NS,Titan Company Limited,Consumer Cyclical,3852.08,4342.60,88,8,9,82,60.8,42.0,1,NEW,N,Y
2026-02-26,SBC.NS,SBC Exports Limited,Industrials,15.33,32.19,87,10,7,98,1150.8,8.5,1,NEW,N,Y
2026-02-26,AGIIL.NS,AGI Infra Limited,Real Estate,37.78,308.95,87,10,7,94,65.9,5.1,1,NEW,N,Y
2026-02-26,MRPL.NS,Mangalore Refinery and Petrochemicals Limited,Energy,345.89,197.14,87,10,7,94,369.1,13.0,1,NEW,N,Y
2026-02-26,RBLBANK.NS,RBL Bank Limited,Financial Services,201.88,326.85,87,10,7,94,381.7,1.9,1,NEW,N,Y
2026-02-26,VEDL.NS,Vedanta Limited,Basic Materials,2882.08,737.45,86,8,9,97,61.0,37.3,1,NEW,Y,Y
2026-02-26,SEAMECLTD.NS,Seamec Limited,Industrials,33.87,1327.60,86,8,9,95,131.8,64.0,1,NEW,Y,Y
2026-02-26,TDPOWERSYS.NS,TD Power Systems Limited,Industrials,137.71,881.55,85,10,6,99,25.3,26.4,1,NEW,N,Y
2026-02-26,GLOBAL.NS,Global Education Limited,Consumer Defensive,5.35,105.07,85,10,6,96,20.8,55.2,1,NEW,N,Y
2026-02-26,MAHABANK.NS,Bank of Maharashtra,Financial Services,581.87,75.65,85,10,6,93,27.4,16.7,1,NEW,N,Y
