Date,Ticker,Company,Sector,Market Cap (B),Price,SEPA Score,Tech Score,Fund Score,RS Rank,EPS Growth %,Rev Growth %,Streak (days),Status,Strict,EPS Accel
2026-02-26,WDC,Western Digital Corporation,Technology,99.48,290.95,100,10,10,98,251.5,31.5,4,RETAINED,Y,Y
2026-02-26,MU,"Micron Technology, Inc.",Technology,482.84,429.00,100,10,10,97,231.0,69.4,4,RETAINED,Y,Y
2026-02-26,GEV,GE Vernova Inc.,Industrials,237.68,876.01,100,10,10,93,1342.5,36.4,4,RETAINED,Y,Y
2026-02-26,PPIH,"Perma-Pipe International Holdings, Inc.",Industrials,0.27,33.05,100,10,10,93,258.8,35.9,4,RETAINED,Y,Y
2026-02-26,EFXT,Enerflex Ltd.,Energy,2.43,19.86,96,10,9,91,146.7,38.5,4,RETAINED,Y,Y
2026-02-26,BTG,BTG,--,0.00,6.20,96,10,9,90,62.6,56.7,4,RETAINED,Y,Y
2026-02-26,OR,OR Royalties Inc.,Basic Materials,8.65,45.82,96,10,9,90,1050.1,28.3,4,RETAINED,Y,Y
2026-02-26,AEIS,AEIS,--,0.00,338.51,93,10,8,94,111.7,21.0,4,RETAINED,Y,Y
2026-02-26,FN,Fabrinet,Technology,22.07,615.99,92,10,8,93,38.6,29.9,4,RETAINED,Y,Y
2026-02-26,STX,Seagate Technology Holdings plc,Technology,91.99,421.85,91,9,9,96,74.4,30.8,4,RETAINED,Y,Y
2026-02-26,TPB,"Turning Point Brands, Inc.",Consumer Defensive,2.73,142.98,91,8,10,89,771.1,140.5,4,RETAINED,Y,Y
2026-02-26,DY,"Dycom Industries, Inc.",Industrials,12.75,425.47,91,8,10,88,225.6,33.9,4,RETAINED,Y,Y
2026-02-26,ARIS,ARIS,--,0.00,22.12,90,8,9,98,93.7,70.9,4,RETAINED,Y,Y
2026-02-26,BELFB,BELFB,--,0.00,234.67,90,10,7,95,1136.1,19.4,4,RETAINED,N,Y
2026-02-26,CGAU,CGAU,--,0.00,19.18,90,8,9,95,456.6,30.7,4,RETAINED,Y,Y
2026-02-26,FSM,Fortuna Mining Corp.,Basic Materials,4.07,13.22,90,10,7,93,989.5,-16.8,4,RETAINED,N,Y
2026-02-26,SSRM,SSR Mining Inc.,Basic Materials,6.20,30.49,90,10,7,93,1078.1,19.4,4,RETAINED,N,Y
2026-02-26,NGL,NGL Energy Partners LP,Energy,1.49,12.00,90,10,7,92,243.8,11.0,4,RETAINED,N,Y
2026-02-26,LITE,Lumentum Holdings Inc.,Technology,51.65,723.39,89,10,7,99,77.3,56.5,4,RETAINED,Y,N
2026-02-26,FIX,"Comfort Systems USA, Inc.",Industrials,51.18,1450.60,89,10,7,96,99.9,31.2,4,RETAINED,Y,N
2026-02-26,IAG,IAMGOLD Corporation,Basic Materials,13.64,22.99,89,8,10,96,61.7,50.4,4,RETAINED,Y,Y
2026-02-26,ENLT,Enlight Renewable Energy Ltd,Utilities,9.59,69.34,88,9,8,97,327.2,21.3,2,RETAINED,Y,Y
2026-02-26,FTI,TechnipFMC plc,Energy,27.18,66.13,88,10,7,90,37.8,11.8,4,RETAINED,N,Y
2026-02-26,WPM,Wheaton Precious Metals Corp.,Basic Materials,71.57,157.43,87,8,8,91,316.6,25.2,4,RETAINED,Y,Y
2026-02-26,ALM,ALM,--,0.00,16.70,86,8,9,99,514.2,38.5,4,RETAINED,Y,Y
2026-02-26,KEP,Korea Electric Power Corporation,Utilities,29.40,22.90,86,8,9,91,269.7,21.4,4,RETAINED,Y,Y
2026-02-26,VIK,Viking Holdings Ltd,Consumer Cyclical,35.13,79.18,86,7,10,79,343.9,48.2,4,RETAINED,N,Y
2026-02-26,HLIO,"Helios Technologies, Inc.",Industrials,2.45,73.84,85,8,8,88,114.6,22.7,4,RETAINED,Y,Y
2026-02-26,ADI,ADI,--,0.00,360.80,85,8,8,84,101.3,26.9,4,RETAINED,N,Y
2026-02-26,NVST,Envista Holdings Corporation,Healthcare,4.87,29.59,85,8,8,82,82.8,21.7,4,RETAINED,N,Y
2026-02-26,KN,Knowles Corporation,Technology,2.43,28.48,85,8,8,80,950.0,22.7,4,RETAINED,N,Y
2026-02-26,AG,AG,--,0.00,29.41,84,10,6,98,100.2,65.4,4,RETAINED,Y,N
2026-02-26,NGD,New Gold Inc.,Basic Materials,9.68,12.19,84,7,10,97,158.3,76.4,4,RETAINED,Y,Y
2026-02-26,CSTM,CSTM,--,0.00,25.99,84,10,6,92,102.7,38.3,4,RETAINED,Y,N
2026-02-26,WFRD,Weatherford International plc,Energy,7.53,104.96,84,8,8,85,81.6,8.0,4,RETAINED,N,Y
2026-02-26,EIX,Edison International,Utilities,28.94,75.20,84,7,10,76,117.6,44.3,4,RETAINED,N,Y
2026-02-26,GOLF,Acushnet Holdings Corp.,Consumer Cyclical,5.84,99.49,84,7,10,72,4246.9,47.7,4,RETAINED,N,Y
2026-02-26,ELE,Elemental Royalty Corporation,Basic Materials,1.44,22.51,83,8,8,95,924.6,24.4,4,RETAINED,Y,Y
2026-02-26,PLAB,"Photronics, Inc.",Technology,2.57,43.57,83,10,6,95,44.2,1.7,4,RETAINED,N,Y
2026-02-26,KGC,Kinross Gold Corporation,Basic Materials,43.49,36.04,83,7,9,93,112.2,27.3,4,RETAINED,Y,Y
2026-02-26,VRT,Vertiv Holdings Co,Industrials,100.31,262.19,83,8,7,93,170.9,41.5,4,RETAINED,Y,N
2026-02-26,TEVA,Teva Pharmaceutical Industries Limited,Healthcare,39.16,33.62,83,7,9,86,124.3,21.1,4,RETAINED,Y,Y
2026-02-26,NOC,Northrop Grumman Corporation,Industrials,100.42,703.65,83,7,9,75,196.7,23.7,4,RETAINED,N,Y
2026-02-26,MNST,Monster Beverage Corporation,Consumer Defensive,83.45,85.41,83,7,9,74,93.7,21.3,4,RETAINED,N,Y
2026-02-26,MTZ,"MasTec, Inc.",Industrials,22.51,285.26,82,8,7,88,115.0,16.6,4,RETAINED,N,Y
2026-02-26,SNEX,StoneX Group Inc.,Financial Services,6.72,128.10,82,8,7,85,93.9,5.8,4,RETAINED,N,Y
2026-02-26,CDE,CDE,--,0.00,24.59,81,7,9,97,604.9,81.6,4,RETAINED,Y,Y
2026-02-26,GLW,Corning Incorporated,Technology,137.64,160.43,81,10,5,96,243.9,22.1,4,RETAINED,Y,N
2026-02-26,B,B,--,0.00,49.81,81,7,9,90,407.6,91.6,4,RETAINED,Y,Y
2026-02-26,TPR,"Tapestry, Inc.",Consumer Cyclical,32.11,156.92,81,8,7,88,176.1,57.9,4,RETAINED,Y,N
2026-02-26,CTRE,CTRE,--,0.00,40.93,81,7,9,73,69.1,50.0,4,RETAINED,N,Y
2026-02-26,JOE,The St. Joe Company,Real Estate,3.99,68.92,81,7,9,72,104.6,54.4,4,RETAINED,N,Y
2026-02-26,NDSN,Nordson Corporation,Industrials,16.24,290.83,81,7,9,70,60.2,22.2,4,RETAINED,N,Y
2026-02-26,AU,AU,--,0.00,124.50,80,10,5,96,42.3,38.1,4,RETAINED,Y,N
2026-02-26,HBM,Hudbay Minerals Inc.,Basic Materials,10.98,27.71,80,8,7,96,950.9,-40.7,4,RETAINED,N,Y
2026-02-26,ECG,"Everus Construction Group, Inc.",Industrials,6.64,130.10,80,8,6,94,65.3,29.9,4,RETAINED,Y,N
2026-02-26,ECO,Okeanis Eco Tankers Corp.,Industrials,2.06,52.63,80,10,5,91,82.3,6.4,4,RETAINED,N,N
2026-02-26,HTHT,H World Group Limited,Consumer Cyclical,16.77,54.52,80,7,9,75,2898.0,15.6,4,RETAINED,N,Y
2026-02-26,CLMT,CLMT,--,0.00,29.59,79,8,7,89,670.0,13.5,4,RETAINED,N,Y
2026-02-26,KB,KB Financial Group Inc.,Financial Services,42.39,118.21,79,8,7,88,146.9,5.5,4,RETAINED,N,Y
2026-02-26,PKE,Park Aerospace Corp.,Industrials,0.54,26.85,79,8,7,88,136.8,2.3,4,RETAINED,N,Y
2026-02-26,SHIP,Seanergy Maritime Holdings Corp,Industrials,0.30,14.05,79,8,7,88,92.1,12.8,4,RETAINED,N,Y
2026-02-26,MYE,"Myers Industries, Inc.",Consumer Cyclical,0.85,22.79,79,8,7,87,65.0,0.8,4,RETAINED,N,Y
2026-02-26,TEN,Tsakos Energy Navigation Limited,Energy,1.00,33.11,79,8,7,86,98.9,-1.1,4,RETAINED,N,Y
2026-02-26,INSW,"International Seaways, Inc.",Energy,3.43,69.52,79,8,7,85,96.9,0.9,4,RETAINED,N,Y
2026-02-26,NATR,"Nature's Sunshine Products, Inc.",Consumer Defensive,0.49,27.54,79,8,7,84,1561.7,8.6,4,RETAINED,N,Y
2026-02-26,MG,"Mistras Group, Inc.",Industrials,0.48,15.28,79,8,7,81,152.4,13.2,4,RETAINED,N,Y
2026-02-26,GVA,Granite Construction Incorporated,Industrials,5.91,135.47,79,8,7,80,54.6,66.6,4,RETAINED,N,N
